City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Seoul,KR,2022-08-31 18:00:14,37.5683,126.9778,69.24,82,38,2.46
278,Pitimbu,BR,2022-08-31 18:01:53,-7.4706,-34.8086,82.99,67,95,18.92
279,Oriximina,BR,2022-08-31 18:01:53,-1.7656,-55.8661,96.13,30,2,5.44
280,Corrente,BR,2022-08-31 18:01:54,-3.7367,-43.3394,95.16,29,22,3.0
281,Dicabisagan,PH,2022-08-31 18:01:54,17.0818,122.4157,78.48,89,47,3.74
282,Faya,SA,2022-08-31 17:59:22,18.3851,42.4509,77.11,40,63,6.06
283,Cabra,ES,2022-08-31 18:01:54,37.4725,-4.4421,88.59,21,0,11.61
284,Agirish,RU,2022-08-31 18:01:55,61.9247,63.0231,43.54,75,76,4.99
285,Galveston,US,2022-08-31 18:01:55,29.3669,-94.9669,93.31,77,40,10.36
286,Plettenberg Bay,ZA,2022-08-31 18:01:55,-34.0527,23.3716,57.45,62,0,10.85
287,Praia,CV,2022-08-31 18:01:56,14.9215,-23.5087,77.54,94,75,4.61
288,Adre,TD,2022-08-31 18:01:56,13.4667,22.2,71.35,83,84,8.93
289,Port Blair,IN,2022-08-31 18:01:56,11.6667,92.75,81.9,81,28,8.37
290,Bac Lieu,VN,2022-08-31 18:01:56,9.285,105.7244,81.16,81,90,5.82
291,Sampit,ID,2022-08-31 18:01:57,-2.5333,112.95,72.91,96,67,1.59
292,Xihe,CN,2022-08-31 18:01:57,31.6864,113.4659,69.35,72,100,4.7
293,Umm Lajj,SA,2022-08-31 18:01:58,25.0213,37.2685,90.16,55,3,8.34
